method,seed,time_min
Random,20250921,88.08427782391458
Random,20250922,58.14559547635394
Random,20250923,50.16754924900115
Random,20250924,53.35253431549852
Random,20250925,64.23287043072303
Random,20250926,58.54316243897979
Random,20250927,73.24665126665917
Random,20250928,57.7393155969368
Random,20250929,65.48968346341672
Random,20250930,75.45746891393782
Random,20250931,70.04471585794406
Random,20250932,67.9632431628638
Random,20250933,53.152309344439296
Random,20250934,58.602653578452134
Random,20250935,53.949599528643546
Random,20250936,59.569362073099235
Random,20250937,58.941647059964275
Random,20250938,61.83479789323954
Random,20250939,59.20581677105798
Random,20250940,61.259852486952006
Random,20250941,55.58012703194904
Random,20250942,56.15786377645678
Random,20250943,56.11683515985543
Random,20250944,71.78842515677317
Random,20250945,58.32127034212737
Random,20250946,54.46525623348215
Random,20250947,61.969499459560254
Random,20250948,55.23885129368258
Random,20250949,53.054419035584765
Random,20250950,62.32070152433481
Random,20250951,62.548223106076136
Random,20250952,59.23418649876867
Random,20250953,55.20706156380929
Random,20250954,74.57380247502161
Random,20250955,54.91958000617422
Random,20250956,69.81554213836168
Random,20250957,62.77816190383295
Random,20250958,65.0191961067983
Random,20250959,70.46630957510271
Random,20250960,73.74206285934417
Random,20250961,61.477853079230265
Random,20250962,64.43259634154201
Random,20250963,58.07538385134474
Random,20250964,53.42251593317398
Random,20250965,54.757341529352054
Random,20250966,61.532159240599725
Random,20250967,66.4607824372018
Random,20250968,65.56733705249944
Random,20250969,54.080874405494534
Random,20250970,63.98910800189822
Random,20250971,62.660219925728946
Random,20250972,58.65838877712364
Random,20250973,63.57972319255806
Random,20250974,66.38220097972406
Random,20250975,59.33435945101497
Random,20250976,54.96530384220504
Random,20250977,76.71926995572197
Random,20250978,67.50119697543245
Random,20250979,65.65766298437715
Random,20250980,72.20397415915117
Random,20250981,66.64969294371268
Random,20250982,69.03475884376431
Random,20250983,62.567004667346765
Random,20250984,55.16698902433358
Random,20250985,58.78889371187674
Random,20250986,52.60855355138521
Random,20250987,61.308642213738025
Random,20250988,64.41415215718635
Random,20250989,68.24392815856334
Random,20250990,59.52317179473572
Random,20250991,75.96650509990089
Random,20250992,62.29212532418475
Random,20250993,54.661815236017276
Random,20250994,67.64517904984096
Random,20250995,68.65359291110042
Random,20250996,62.605410185117606
Random,20250997,55.663016549737954
Random,20250998,67.45860289033479
Random,20250999,72.9965397361102
Random,20251000,85.12482604129326
Random,20251001,54.295474107807195
Random,20251002,57.43634654390388
Random,20251003,56.82974859450596
Random,20251004,68.39447884055043
Random,20251005,68.96755565320719
