method,seed,time_min
Random,20250921,595.2220812121938
Random,20250922,581.0349181461711
Random,20250923,575.6396550873275
Random,20250924,601.7574938969424
Random,20250925,580.6937899835499
Random,20250926,574.3697419710323
Random,20250927,614.2640876849891
Random,20250928,588.8854940478407
Random,20250929,599.998313253468
Random,20250930,612.8551160510284
Random,20250931,595.4077928889285
Random,20250932,590.7819405951618
Random,20250933,582.14159097704
Random,20250934,588.3029890304737
Random,20250935,594.2689807883338
Random,20250936,599.5081052411252
Random,20250937,593.4422957896518
Random,20250938,608.0445255871857
Random,20250939,562.7028400632447
Random,20250940,597.6407506270625
Random,20250941,583.5600676675052
Random,20250942,599.6113942566044
Random,20250943,590.7059328528991
Random,20250944,580.8397678658059
Random,20250945,579.593492186865
Random,20250946,578.7351267690549
Random,20250947,617.9835359076421
Random,20250948,578.3020337911582
Random,20250949,586.5031721614348
Random,20250950,569.0196234424152
Random,20250951,581.2279223505316
Random,20250952,593.6090609500764
Random,20250953,587.1774195447073
Random,20250954,603.8128008152053
Random,20250955,557.5140265279392
Random,20250956,611.7286827528433
Random,20250957,601.5377249260737
Random,20250958,612.5150492784352
Random,20250959,617.4491503873929
Random,20250960,589.1332381535566
Random,20250961,588.6016647729804
Random,20250962,575.0406799332682
Random,20250963,601.5607687516388
Random,20250964,585.3076949589995
Random,20250965,584.1876839084445
Random,20250966,584.2923736236667
Random,20250967,593.9413068685238
Random,20250968,596.7677624510728
Random,20250969,587.3410055474453
Random,20250970,596.4309226469804
Random,20250971,596.596167321596
Random,20250972,592.7309856880863
Random,20250973,578.8155548854652
Random,20250974,610.4902528318826
Random,20250975,575.1618581122981
Random,20250976,567.1171676731931
Random,20250977,591.3588472608541
Random,20250978,610.6723976281052
Random,20250979,588.5030501179544
Random,20250980,597.3191450327046
Random,20250981,578.5170969150569
Random,20250982,600.9772653065709
Random,20250983,620.5979140890138
Random,20250984,583.8775040987088
Random,20250985,580.5742207789514
Random,20250986,574.916666144409
Random,20250987,568.6867823162917
Random,20250988,578.1768813992551
Random,20250989,590.7240801325815
Random,20250990,584.7653270136092
Random,20250991,587.91958521447
Random,20250992,592.0321020442719
Random,20250993,586.9381186718848
Random,20250994,591.4848515233558
Random,20250995,592.7008167648416
Random,20250996,588.6828952525705
Random,20250997,579.3869731017278
Random,20250998,591.1274690065828
Random,20250999,601.4699262511149
Random,20251000,632.2144432910849
Random,20251001,587.8844854001316
Random,20251002,581.0914849701155
Random,20251003,576.3799834415051
Random,20251004,599.8091673730918
Random,20251005,588.3579288559594
Random,20251006,586.636930201013
Random,20251007,596.456190655865
Random,20251008,582.8524217361755
Random,20251009,589.9325529617173
Random,20251010,582.8856737532776
Random,20251011,582.0558791669234
Random,20251012,566.510964230719
Random,20251013,616.0499268973504
Random,20251014,563.5959978027839
Random,20251015,567.5131974127403
Random,20251016,596.238379146445
Random,20251017,591.3044117895014
Random,20251018,614.3178587832192
Random,20251019,578.8529792425717
Random,20251020,576.9316032353187
Random,20251021,582.1877553943295
Random,20251022,577.9171313729216
Random,20251023,592.7418720960368
Random,20251024,604.8671947716412
Random,20251025,591.4207561101762
Random,20251026,573.2234393494614
Random,20251027,613.305471435911
Random,20251028,587.5846179941318
Random,20251029,573.8794981707971
Random,20251030,607.1114621214243
Random,20251031,563.8614115072335
Random,20251032,594.4999637377813
Random,20251033,584.4164260949685
Random,20251034,586.8075021164912
Random,20251035,597.3702818932237
Random,20251036,580.5847332176514
Random,20251037,611.8027531637142
Random,20251038,595.9517982923309
Random,20251039,574.2929757512359
Random,20251040,573.9479094236922
Random,20251041,602.0327448417223
Random,20251042,586.9559258676145
Random,20251043,582.0128394097095
Random,20251044,589.1969837839972
Random,20251045,579.888892928353
Random,20251046,543.5669863963449
Random,20251047,587.9390301860471
Random,20251048,585.5595289276793
Random,20251049,597.8404470516753
Random,20251050,583.7629072127271
Random,20251051,570.2246165144506
Random,20251052,608.162554460482
Random,20251053,571.896329212802
Random,20251054,606.9645845452962
Random,20251055,577.7277628727174
Random,20251056,597.096024088215
Random,20251057,584.7817913523601
Random,20251058,570.484279403174
Random,20251059,570.4873841436482
Random,20251060,597.8971242057289
Random,20251061,595.0817926943269
Random,20251062,564.2244023017666
Random,20251063,593.992544208084
Random,20251064,575.4195176498309
Random,20251065,603.6400261047561
Random,20251066,594.7231809689938
Random,20251067,585.3263553541833
Random,20251068,583.4133759138588
Random,20251069,601.3943593800069
