method,run,minutes
RANDOM,1,132.7692451917442
RANDOM,2,102.11955042738987
RANDOM,3,122.43759256985632
RANDOM,4,119.67561369920368
RANDOM,5,117.7287402668524
RANDOM,6,128.2259764328173
RANDOM,7,134.97636916139004
RANDOM,8,120.21702006844025
RANDOM,9,119.16044554627177
RANDOM,10,114.27141624459671
RANDOM,11,126.89027397521946
RANDOM,12,113.3315907884312
RANDOM,13,119.58108812708663
RANDOM,14,136.13165327545548
RANDOM,15,133.61668499065217
RANDOM,16,114.80093621695585
RANDOM,17,141.1076553553069
RANDOM,18,121.13294118254933
RANDOM,19,134.26811384868915
RANDOM,20,129.03639038530284
RANDOM,21,145.9708889964713
RANDOM,22,136.82908097083794
RANDOM,23,114.27646617744682
RANDOM,24,129.28362058355057
RANDOM,25,109.86217949229105
RANDOM,26,147.45269825341757
RANDOM,27,121.95736565389095
RANDOM,28,123.91989654284616
RANDOM,29,125.5126704581308
RANDOM,30,104.11943790483829
RANDOM,31,125.55589883046736
RANDOM,32,141.5127848023951
RANDOM,33,120.36521754789666
RANDOM,34,107.1943984653387
RANDOM,35,125.60219172717889
RANDOM,36,119.87607139179765
RANDOM,37,119.69265325842761
RANDOM,38,134.82387814670608
RANDOM,39,118.47031076259833
RANDOM,40,144.02329216188053
RANDOM,41,138.15881771113277
RANDOM,42,132.09475284935766
RANDOM,43,125.58132176045645
RANDOM,44,134.61403606886194
RANDOM,45,144.95269718492364
RANDOM,46,127.28772818589158
RANDOM,47,129.91097138242614
RANDOM,48,136.10602351875448
RANDOM,49,138.7996475510878
RANDOM,50,124.13478748115045
RANDOM,51,143.64670750661566
RANDOM,52,121.46056090575229
RANDOM,53,132.42298052973098
RANDOM,54,127.62873502440851
RANDOM,55,107.59835664368244
RANDOM,56,140.78681795285428
RANDOM,57,113.85889775041039
RANDOM,58,138.71538616480495
RANDOM,59,123.54855853938112
RANDOM,60,137.91139653723002
RANDOM,61,132.2274556065295
RANDOM,62,116.467889928329
RANDOM,63,111.48892906594044
RANDOM,64,127.62392921957242
RANDOM,65,125.02153137337066
RANDOM,66,147.83939776552958
RANDOM,67,120.8387035941327
RANDOM,68,130.00238943323552
RANDOM,69,152.11210169301793
RANDOM,70,127.45162289479828
RANDOM,71,121.06697090730029
RANDOM,72,116.01784338726948
RANDOM,73,125.3836672549029
RANDOM,74,111.03225372286836
RANDOM,75,122.5142539950607
RANDOM,76,122.88264334120531
RANDOM,77,126.3609733921512
RANDOM,78,106.62427783868685
RANDOM,79,142.24547633026853
RANDOM,80,118.63996286056017
RANDOM,81,115.88138062102598
RANDOM,82,122.6213132089735
RANDOM,83,116.57696828260836
RANDOM,84,116.53542520596444
RANDOM,85,135.2933793622841
RANDOM,86,122.89647867772189
RANDOM,87,126.20040311068671
RANDOM,88,136.0652197833528
RANDOM,89,121.46961653906808
RANDOM,90,116.61115591428229
RANDOM,91,124.99280631110423
RANDOM,92,130.91928819399217
RANDOM,93,111.34456887960701
RANDOM,94,125.25882179872455
RANDOM,95,130.18570632493
RANDOM,96,109.89164897338962
